Store Name,Address,latitude,longitude
Taiping Sentral,"Lot G-09 & G-10,Taiping Sentral, No. 36, Jalan Istana Larut,Perak 34000",4.8655911,100.7315518
Bintang Plaza Miri,"Lot G47 & G39A, Ground Floor,Bintang Plaza Shopping Plaza, Jalan Bintang,Sarawak 98000",4.3970478,113.9932847
Miri Airport,"Lot No. GL 14,Public Concourse,Sarawak 98000",4.325022,113.983452
AEON AU2,"Lot G48, AEON AU2 Shopping Centre,No. 6, Jalan 37/56 Taman Setiawangsa,Kuala Lumpur 54200",3.1770878,101.7510916
3 Damansara,"Lot G-01, Ground Floor,Tropicana City Mall, No. 3, Jalan SS20/27,Selangor 47400",3.1323332,101.6264737
Subang Skypark,"Lot G12,& G13, Terminal 3,Sultan Abdul Aziz Salahuddin Airport,Jalan Lapangan Terbang SAAS,Selangor 47200",3.1281586,101.5523149
AEON Bukit Indah,"Lot G08, Ground Floor,AEON Bukit Indah Shopping Centre,Johor 81200",1.4817987,103.6557213
Precint 88,"Unit G1 & F1, Ground & First FloorPrecint 88,Sarawak 93350",1.5212039,110.3725859
KLIA 2 Lanside,"Lot No. S2-3-LO1, Departure Level,Public ConcourseTerminal Landside,Kuala Lumpur International Airport 2,Selangor 64000",2.7430884,101.6864393
Setia Tropika DT,"No.8B Jalan Setia Tropika1/21, Taman Setia Tropika,Johor 81200",1.54874,103.7176492
Empire Gallery Subang,"G28, Empire Shopping Gallery,Jalan SS16/1, Jalan SS16,Selangor 47500",3.081936,101.582766
Reserve Setia Alam DT,"Lot No. 4, Persiaran Setia ImpianBandar Setia Alam, Seksyen U 13,Selangor 47500",3.1017648,101.4555421
Taylor's Lakeside,No.1Jalan Taylor'sSelangor 47500,3.0641336,101.6167543
Ampang Point,"Lot G20A, Ground Floor,Ampang Point Shopping Centre,Jalan Mamanda 3,Selangor 68000",3.1577511,101.7511515
Desa Sri Hartamas,"No. 22,Jalan 25/70A,Kuala Lumpur 59400",3.1622921,101.6492969
VIVA Home,"No. 22,Jalan 25/70A,Kuala Lumpur 55200",3.1622921,101.6492969
Gleneagles,"Ground Floor (Garden Area),Gleneagles Hospital Kuala Lumpur,Kuala Lumpur 50450",3.1616047,101.7395115
AEON Bandaraya Melaka,"Lot G89 & G90AEON Bandaraya Melaka Shopping Centre,No. 2,Melaka 75400",2.2148518,102.2463583
AEON Ipoh Station 18,"Lot G66, Ground Floor, AEON Ipoh Station 18 Shopping CentreNo 2, Susuran Stesen 18, Station 18,Perak 31650",4.546222,101.070528
Setia City Mall,"Lot LG-33, Setia City Mall, No. 7,Persiaran Setia Dagang, Bandar Setia Alam, Seksyen U13,Selangor 40170",3.108951,101.4613414
Setia Walk,"G-01G,SetiawalkSelangor 47160",3.032221,101.6179489
Wisma HB,"A-0-1, (Front Portion) Ground Floor, Block A,Wisma HB, Megan Avenue II,12,Kuala Lumpur 50450",3.16183,101.7117101
Prima 5 DT,"Prima 5CPrima Avenue, Block 3505, Jalan Teknokrat 5,Selangor 63000",2.921137,101.656278
Cenang Mall,"Lot GF1a, GF1b & GF1c Cenang Mall Langkawi,Lot 2605 JalanPantai Cenang, Mukim Kedawang,Kedah 07000",6.290883,99.72804529999999
Suria Sabah,"G-2 & G-69 Ground Floor,Suria Sabah Shopping MallSabah 88000",5.9869207,116.0772856
Shaftsbury,"P1-22, Shaftsbury SquareLot 2350, Cyber 6, Persiaran Multimedia,Selangor 63000",2.9234251,101.6617399
Menara Olympia,"Level 1Menara Olympia,03-2856 9105 50200",47.0378741,-122.9006951
Petronas PLUS DT,"Stesen Minyak PetronasKM305 PLUS Arah Selatan,Selangor 43300",3.0058518,101.7251075
"Plaza Merdeka, Kuching","Lot G-46 Ground Floor,Plaza Merdeka,88,Jalan PearlSarawak 93000",1.5585742,110.344017
AEON Seri Manjung,"Lot G65, AEON Seri Manjung Shopping CentrePusat Perniagaan Manjung Point 3,Perak 32040",4.2195196,100.671133
Tanjong Tokong DT,4-G Jalan Pantai MolekTanjung TokongPenang 10470,5.4461574,100.3062489
Reserve Bukit Bintang Junction,"Part of Ground & Mezz Floor,Wolo Hotel, Corner of Jalan Bukit Bintang & Jalan Sultan Ismail,Kuala Lumpur 55100",3.1471937,101.7114942
SOHO KL,"Unit J-0G-01,SOHO KL, Solaris Mont Kiara,Kuala Lumpur 50480",3.1751933,101.6601275
Gurney Paragon,"Lot G30Gurney Paragon Mall,Penang 10250",5.4357127,100.3108976
Lotus’s Tebrau DT,"Lot No. G7 & G8, Ground Floor,Lotus's Desa Tebrau, No 1,Persiaran Desa Tebrau,Johor 81100",1.5477742,103.7935549
Petronas Lingkaran Karak  DT,"Lot PT, 6075 H.S(M),Lebuhraya Kuala Lumpur - KarakSelangor 68100",3.139003,101.686855
Port Dickson DT,"Port of HS(D) 8376 PT 74Persiaran Waterfront, PD WaterfrontN.Sembilan 71000",2.5208366,101.8000423
Avenue K,"G-7, Ground Floor,Avenue K,156Kuala Lumpur 50450",3.1592485,101.7140833
Taman Connaught,"2, Ground Floor,Jalan Menara Gading 1, Taman Connaught,Kuala Lumpur 56000",3.0806584,101.7328616
Puteri Harbour,"Lot 1D, Ground FloorLittle Red Cube,Persiaran Puteri Selatan,Johor 79000",1.4166916,103.6569844
Wisma UOA,"19-1-2, Ground Floor,UOA Centre,Kuala Lumpur 50450",3.1437074,101.697549
AEON Kulaijaya,"Lot G68, Ground Floor,AEON Mall Kulaijaya, PTD 106273, Persiaran Indahpura Utama, Bandar Indahpura,Johor 81000",1.639685,103.617542
Sunway Tambun DT,"Part of Lot HS(D) KA 72917,PT146136 (Plot 10) of Mukim Hulu Kinta, Daerah Kinta,Perak 31150",4.6413935,101.1532421
Kluang Mall,"Lot No. G-10, Ground Floor,Kluang Mall, Jalan Rambutan, Bandar KluangJohor 86000",2.0400737,103.3205798
Club Nexu5,"Lot F&B 01, Ground FloorClub Nexu5,Kuala Lumpur 59200",3.1096845,101.6656385
Imperial City Mall,"PICM-GF11, PICM-GF11a & PICM-GF11b, Ground Floor,Permaisuri Imperial City Mall, Jalan MerpatiSarawak 98000",4.4005194,113.9906578
Petronas Bayu Senibong DT,"Lot PTD 173047,Taman Bayu Senibong, Mukim Plentong,Johor 81750",1.501463,103.821039
Genting Permai DT,"Lot 21078, Jalan Permai 2Genting Permai AvenuePahang 69000",3.3869167,101.7740384
Kota Kemuning DT,"Part of Lot PT128300,Jalan Anggerik Vanila,Kota KemuningSelangor 40460",3.0048777,101.5371543
Main Place,nullnullSelangor 47630,37.9701535,-87.3612205
TPM DT,"Wisma Scope International, PT15084,Jalan Teknologi MalaysiaKuala Lumpur 57000",3.0545644,101.7041409
Encorp Strand,"Lot G-08 & G-09, Ground FloorEncorp Strand Mall, No.1 Jalan PJU 5/23, Encorp StrandSelangor 47810",3.1555748,101.5938343
Medan Gopeng,"Lot 200A,Burger Houz, Jalan Raja Dr. Nazrin Shah,Perak 31350",4.572357,101.1128859
AEON Bukit Mertajam,"Lot G08 & G08A,AEON Bukit Mertajam, Jalan Rozhan, AlmaPenang 14000",5.3204299,100.4783255
Lotuss Kepong DT,"G1&G2, Lotus's Kepong,No.3 Jalan 7A/62A,Bandar ManjalaraKuala Lumpur 52200",3.1927099,101.6327506
Burma Road,"No. 403-A,Jalan Burmah,Penang 10350",5.4318238,100.3110806
Sri Pinang DT,"Lot L1-1, L1-2, L1-3 & L2-1,Maritime, No.29C, Lebuh Sungai Pinang5, JelutongPenang 11600",5.3984444,100.3283921
MBC Tower,"Menara Bumiputra CommerceNo.11, Jalan Raja Laut,Kuala Lumpur 50100",3.1553184,101.6952657
Bandar Puteri DT,"Lot TC-05, IOI Galleria @ The Cube,No. G-2, Jalan Puteri 7/13A Bandar Puteri,Selangor 47100",3.0181992,101.6240317
Quill City Mall,"G-13, Ground Floor, Q-City MallJalan Sultan Ismail Kuala LumpurKuala Lumpur 50250",3.1596807,101.7002115
Menara Binjai,"Unit No. G-02, Ground Floor,Menara Binjai,Kuala Lumpur 50450",3.1528538,101.7098272
AEON Taiping,"Lot G08, Ground Floor,AEON Mall Taiping, Jalan KamuntingPerak 34600",4.8726143,100.7290344
IOI City Mall,"Unit GE-2, Ground Floor,IOI City Mall,Putrajaya 62502",2.9697004,101.7131489
The Shore,"GF-10,he Shore Shopping Gallery, Jalan Persiaran Bunga Raya,Melaka 75300",2.2019063,102.2503166
Taman Molek,"Lot No. 21 (G) & 21-1,Jalan Molek 3/20, Taman MolekJohor 81100",1.5197593,103.7841097
Danga Bay,"Sales Gallery, Lot PTB 22056,Danga Bay,  Jalan SkudaiJohor 80200",1.4644805,103.7267093
"Tin Village,Kampar","Lot No. 5&6, Ground Floor,Tin Village Mall,Perak 31900",4.3280664,101.1469817
Sunway Pinnancle,"GL-1 Ground Floor Lobby The Pinnacle,Persiaran Lagoon Selatan, Bandar Sunway UEP,Selangor 46150",3.0701823,101.6100486
Damasara Perdana,"A-LG-03, Lower Ground Floor,Qliq Hotel, Empire Damansara, Jalan PJU 8/8,Selangor 47820",3.1658102,101.6120104
SDMC Subang Jaya,"Lot G7, Ground Floor,Mediplex, Sime Darby Medical Centre, No. 1, Jalan SS 12/1a, SS12,Selangor 47500",3.0797713,101.5938418
Shell Bandar Seri Alam DT,"Lot S1, Ground FloorPTD 220529, Persiaran Seri Alam,Bandar Seri Alam,Johor 81750",1.5084265,103.8673789
Imago Times Square,"Lot G33B & G33C, Ground Floor,Imago, KK Times Square, Off Coastal Highway,Sabah 88100",5.9708621,116.0663544
Icon City DT,"Ground & Mezzanine Floor,No1, Jalan Icon City, Icon CityPenang 14000",5.3445721,100.4351506
Citta Mall,"Lot No. G-15, Ground Floor,Citta Mall, No. 1, Jalan PJU 1A/48, PJU 1A, Ara Damansara,Selangor 14000",3.1121867,101.5790712
Atria Shopping Gallery,"No. G39, Ground FloorAtria Shopping Gallery, Jalan 22/23, Damansara JayaSelangor 47400",3.1270963,101.6165176
Batu Ferringhi,"No. 69,Jalan Batu Ferringhi,Penang 11000",5.465368900000001,100.2420942
Komtar JBCC,"Lot No. 239, Level 2Komtar, Johor Bahru City CentreJohor 80000",1.4620887,103.7636735
Ansa,"Lot 0.3, Ground FloorPiccolo Hotel, 101,Kuala Lumpur 55100",3.1468611,101.7121225
KLIA Contact Pier,"Lot No. CP 20Contact Pier International,Selangor 64000",2.7545553,101.701464
